time,sent_src
han,于是管仲睹桓公不可穷以辞，因设之以事，曰：古之封禅，鄗上之黍，北里之禾，所以为盛；
han,能薄而材谫，彊因人之功，是不能也：三者逆德，天下不服，身殆倾危，社稷不血食。
song,左军将军刘明彻免官、削爵，付东冶。
han,作渔父、盗跖、以明老子之术。
song,昔彭城之役，既克大镇，城戍已定，角城蕞尔，处在淮北，去淮阳十八里。
han,夫用贫求富，农不如工，工不如商，刺绣文不如倚市门，此言末业，贫者之资也。
song,柔脆之物，生于墟落秽湿之地，不当生于殿堂高华之处；
han,原宪曰：吾闻之，无财者谓之贫，学道而不能行者谓之病。
han,曰：无有。
han,兼韩、魏、燕、赵、宋、卫、中山之众。
han,田常出，闻简公怒，恐诛，将出亡。
han,因与俱出入，国绝祀。
song,不言王后夫人，夫人，父母在有归宁，没则使卿宁。
han,高帝封之乐卿，号曰华成君。
han,文帝曰：汝第往，吾今使人召若。
pre-qin,时子因陈子而以告孟子，陈子以时子之言告孟子。
song,魏主素未识诸舅，始赐衣帻引见，皆惶惧失措；
han,十年，晋欲伐虢，士蔿曰：且待其乱。
song,魏主甚重齐人，亲与谈论。
song,己巳，庚午，所以，十一月癸酉，丁丑，北魏孝文帝到了邺城。
han,生子九人，莫立，立其弟成公。
han,立建成侯彭越为梁王，都定陶。
song,于是以都令史视奉朝请，用太学博士刘纳兼殿中都，司空法曹参军刘显兼吏部都，太学博士孔虔孙兼金部都，司空法曹参军萧轨兼左右户都，宣毅墨曹参军王兼中兵都，六月，宣城郡吏吴承伯挟妖术聚众，癸丑，攻郡杀太守朱僧勇，转屠旁县。
song,明根劝以孝友化民。
han,秦民初言令不便者有来言令便者，卫鞅曰此皆乱化之民也，尽迁之于边城。
han,犬丘人言之周孝王，马大蕃息。
han,问，知其酖，齐王恐，自以为不得脱长安，忧。
han,如此，破越必矣。
han,羽翮已就，横绝四海。
han,文子语蘧伯玉，伯玉曰：臣不知也。
song,直阁将军刘胄，殿中将军常季贤以善养马，陈扫静掌栉，皆得幸于帝，与皓相表里，卖权势。
han,章邯已破陈王，乃进兵击魏王于临济。
han,方今天下之权，存亡在子与高及丞相耳，原子图之。
song,其夜，张永攻南门，不克而退。
han,明日，下阴道。
han,诸侯安定，河渭漕挽天下，西给京师；
han,东方，大水；
han,赤，比心；
han,今臣生十二岁于兹矣，君其试臣，何遽叱乎？
han,谓子贡曰：天下无道久矣，莫能宗予。
han,二十年，齐湣王欲为从长，恶楚之与秦合，乃使使遗楚王书曰：寡人患楚之不察于尊名也。
han,今得国舍之，何如？
song,继先遣人慰谕树者。
han,纵廉，其治放郅都。
han,康叔之年幼，周公在三公之位，而伯禽据国于鲁，盖爵命之时，未至成人。
han,鄋瞒由是遂亡。
song,故辅以上佐，用为主帅，饮食起居，动应闻启，处地虽重，行己莫由。
song,柔然犯魏塞，魏任城王澄帅众拒之，柔然遁去。
han,臣青子在唡褓中，未有勤劳，上幸列地封为三侯，伉等三人何敢受封！
han,乌氏倮畜牧，及众，斥卖，求奇缯物，间献遗戎王。
han,六年，大饥，民讹言曰：赵为号，秦为笑。
han,平王大母李太后曰：先王有命，无得以罍樽与人。
song,子懋既不出兵攻叔业，中兵参军于琳之，说子懋重赂叔业，可以免祸。
song,吐谷浑王拾寅寇魏浇河，夏，四月，戊申，魏以司空长孙观为大都督，发兵讨之。
han,至于亚夫，可得而犯邪！
song,王玄邈使人诈降诱乌奴，乌奴轻兵袭州城，玄邈伏兵邀击，乌奴挺身复走入氐。
han,会日且入，大风起，沙砾击面，两军不相见，汉益纵左右翼绕单于。
han,弟子为博士者十馀人：孔安国至临淮太守，周霸至胶西内史，夏宽至城阳内史，砀鲁赐至东海太守，兰陵缪生至长沙内史，徐偃为胶西中尉，邹人阙门庆忌为胶东内史。
han,十一年，王召公子职于韩，立以为燕王，使乐池送之。
song,桓标之等有众数万，庚子，又使兖州刺史周山图自淮入清，倍道应接。
han,而巴落下闳运算转历，然后日辰之度与夏正同。
han,诸侯不期而会者八百诸侯。
han,上曰：文成食马肝死耳。
han,文公卒，厉公兄鲍立，是为桓公。
song,群臣请诛愉，魏主不许，命锁送洛阳，申以家人之训。
han,齐彊，辅之以宋，楚魏必恐，恐必西事秦，是王不烦一兵，不伤一士，无事而割安邑也，此韩聂之所祷于王也。
han,刑者相半于道，杀人众者为忠臣。
han,勃既定燕而归，高祖已崩矣，以列侯事孝惠帝。
han,忽然为人兮，何足控抟；
song,宽容而仁恕，二胜也；
song,初，魏御史中尉甄琛，山林川泽有虞、衡之官，不使戕贼而已，故虽置有司，实为民守之也。
han,汉独有三河、东郡、颍川、南阳，自江陵以西至蜀，北自云中至陇西，与内史凡十五郡，而公主列侯颇食邑其中。
han,燕以葛、武阳、平舒与赵。
han,夫秦政之所以不行者，此得失之效也。
han,乃行卜。
han,秦叶阳、昆阳与舞阳邻，听使者之恶之，随安陵氏而亡之，绕舞阳之北，以东临许，南国必危，国无害乎？
han,所以然者，子亹自齐襄公为公子之时，尝会斗，相仇，及会诸侯，祭仲请子亹无行。
han,其少年，以为欲刺，折其气。
han,事不师古而能长久者，非所闻也。
han,及文王崩而发立，是为武王。
song,百姓哀之，谣曰：可怜石头城，宁为袁粲死，不作褚渊生！
song,先遣治书侍御史李焕单骑入代，出其不意，晓谕泰党，示以祸福，皆莫为之用。
han,晋许之，于是使人送重耳。
song,帝以旧人，欲引参佐命，曰：主上圣明，宁假朽老以赞惟新乎！
han,九月，遂与王黄等反，自立为代王，劫略赵、代。
han,明年，虏代王嘉，灭燕王喜。
han,留岁馀，单于死，左谷蠡王攻其太子自立，国内乱，骞与胡妻及堂邑父俱亡归汉。
han,吴王不听，遂北伐齐，败齐师于艾陵。
han,自太戊以下，中衍之后，遂世有功，故嬴姓多显，遂为诸侯。
song,魏以杨难当族弟广香为阴平公、葭芦戍主，仍诏欢喜筑骆谷城。
song,对曰：泰等愚惑，正由恋旧，为此计耳，非有深谋远虑；
han,人民之众，车马之多，日夜行不绝，輷輷殷殷，若有三军之众。
han,或言古者太平，万民和喜，瑞应辨至，乃采风俗，定制作。
han,当道者曰：儿，代之先也。
pre-qin,久于齐，非我志也。
han,韩信曰：汉王遇我甚厚，载我以其车，衣我以其衣，食我以其食。
han,君陈、蔡，方城外属焉。
song,朝廷每选人士，校其一婚一宦以为升降，何其密也！
han,赵王以为然，因不西兵，而使韩广略燕，李良略常山，张黡略上党。
song,武陵内史萧嶷遣队主张英儿击破之，诛娄侯，立田都，群蛮乃定。
han,名平，楚之同姓也。
song,上以休若和厚，能谐缉物情，虑不奉诏；
song,不守法令，殿下不思悔改，所以我不敢不向上报告。
song,上以戢资重，欲加常侍，褚渊曰：臣与王俭既已左珥，若复加戢，则八座遂有三貂；
han,与秦伐楚，败楚将唐眛。
han,六岁，坐为九江太守受故官送有罪，国除。
han,曰君臣，父子，兄弟，夫妇，此五者天下之通道也。
han,二十四年，倍齐而合秦。
han,宰夫胹熊蹯不熟，灵公怒，杀宰夫，使妇人持其尸出弃之，过朝。
han,其南则大夏，西则安息，北则康居。
song,左司马范阳郦范曰：今轻军远袭，深入敌境，岂宜淹缓！
han,诸公子饹萧，公子御说饹亳。
han,夫向寿之于秦王，亲也，少与之同衣，长与之同车，以听事。
han,舆鬼，鬼祠事；
han,黄圜，则吉。
han,宛乃出其善马，令汉自择之，而多出食食给汉军。
han,抱儿呼曰：天乎天乎！
han,魏王乃使周市出请救于齐、楚。
han,子贡曰：臣闻之，忧在内者攻彊，今君忧在内。
han,四年春，郑患晋围，公子如乃立成公庶兄𦈡为君。
han,今太子迟之，皆白衣冠以送之。
han,原君逮楚、赵之兵未至于梁，亟以少割收魏。
han,恐侍御者之亲左右之说，不察疏远之行，故敢献书以闻，唯君王之留意焉。
han,尾、箕，幽州。
han,百战克胜，诸侯慑服，权非轻也。
song,广之谓肃曰：节下若从卿言，何以平贼？
song,平从之，皆得免死。
han,朱公以为陶天下之中，诸侯四通，货物所交易也。
han,夏，南宫敬叔救火。
han,车星角若益众，及不具，无处车马。
song,吴、楚便水，且灌且掠，淮南之地将非国有。
song,喜至国山，遇东军，大破之。
song,大率十匹为公调，二匹为调外费，三匹为百官俸。
han,秋，吴伐楚，楚败我师。
han,我将弗堕。
han,柰何？
han,今以三寸舌为帝者师，封万户，位列侯，此布衣之极，于良足矣。
han,绝，天子辄复求何后，封续酂侯，平阳侯曹参者，沛人也。
song,又，太卜令姑臧王睿得幸于太后，超迁至侍中、吏部尚书，爵太原公。
han,乃从其画，复守敖仓，而使郦生说齐王曰：王知天下之所归乎？
han,吕后曰：季所居上常有云气，高祖心喜。
han,至中山，晏温，有黄云盖焉。
han,然公子遇臣厚，公子往而臣不送，以是知公子恨之复返也。
han,死于鲁。
han,蔡泽少得间，因曰：夫商君、吴起、大夫种，其为人臣尽忠致功则可原矣，闳夭事文王，周公辅成王也，岂不亦忠圣乎？
han,哀侯二年曲沃庄伯卒，子称代庄伯立，是为曲沃武公。
han,太史公曰：古人有言曰爱之欲其富，亲之欲其贵。
han,王与孟说举鼎，绝膑。
han,封禅七十二王，唯黄帝得上泰山封。
han,居顷之，石建卒，于是上召广代建为郎中令。
han,冒顿上马，令国中有后者斩，遂东袭击东胡。
song,王敬则拔白刃，在床侧跳跃曰：天下事皆应关萧公！
song,李居士觇知僧珍众少，僧珍曰：吾众少，不可逆战，可勿遥射，当并力破之。
song,文济白帝，帝仍遣收之；
song,又，移易朝旧，布置亲党，宫阁管，悉关家人。
han,缓辞让曰：此非臣之所能知也。
han,成公三年，晋厉公伐曹，虏成公以归，已复释之。
pre-qin,事君无义，进退无礼，言则非先王之道者，犹沓沓也。
han,二十八年，秦乃与齐、韩、魏共攻楚，杀楚将唐眛，取我重丘而去。
han,通顿首，首尽出血，文帝度丞相已困通，使使者持节召通，而谢丞相曰：此吾弄臣，君释之。
han,天与不受，天夺之宝。
han,宪王雅不以长子棁为人数，及薨，又不分与财物。
han,且夫为从者，无以异于驱群羊而攻猛虎，虎之与羊不格明矣。
han,殷遂丧，越至于今。
han,孔子过，闻弦歌之声。
song,谦从伯之镇寻阳，闻衍东下，曰：我家世忠贞，有殒不二。
han,其出卯南，南胜北方；
han,闽越擅伐，东瓯请降。
han,言神事，事如迂诞，积以岁乃可致也。
han,良说汉王，汉王用其计，诸侯皆至。
han,沛公与项羽西略地至雍丘之下，与秦军战，大破之，斩李由。
song,胤不敢当，依违谏说，帝意复止。
pre-qin,般乐饮酒，驱骋田猎，后车千乘，我得志弗为也。
han,召诸县父老豪桀曰：父老苦秦苛法久矣，诽谤者族，偶语者弃巿。
han,素有眦睚不快，因公行诛，恣意所伤，以破族灭门者，不可胜数。
han,太公乃迁康公于海上，食一城，以奉其先祀。
song,道成曰：昔上流谋逆，皆因淹缓致败，休范必远惩前失，轻兵急下，今应变之术，不宜远出；
song,魏法秀之乱，事连兰台御史张求等百余人，皆以反法当族。
han,后一岁，张汤亦死。
han,又谓王稽曰：谒君得无与诸侯客子俱来乎？
han,晋先轸曰：秦伯不用蹇叔，反其众心，此可击。
han,项羽往救赵，由此怨田荣。
han,天子召诸生示其书，董仲舒弟子吕步舒不知其师书，以为下愚。
han,蔡泽曰：君何见之晚也！
han,其乐非特朝昔之乐也，其获非特凫雁之实也。
song,上敕伯之以部内一郡处缮，于是伯之集府州僚佐谓曰：奉齐建安王教，帅江北义勇十万，已次六合，见使以江州见力运粮速下。
han,身自耕作，夫人自织，食不加肉，衣不重采，折节下贤人，厚遇宾客，振贫吊死，与百姓同其劳。
han,元君为魏婿，故魏立之。
han,已而其精兵果奔西北，不得入。
han,武侯即曰：柰何？
han,简子曰：吾见儿在帝侧，帝属我一翟犬，曰及而子之长以赐之。
pre-qin,辞曰：闻戒。
han,翟璜忿然作色曰：以耳目之所睹记，臣何负于魏成子？
han,何徒远走，亡匿于幕北寒苦无水草之地，毋为也。
han,乐毅自魏往，邹衍自齐往，剧辛自赵往，士争趋燕。
han,后顷之，冒顿死，子稽粥立，号曰老上单于。
song,会匡与太常刘芳议权量事，肇主芳议，匡遂与肇喧竞，表肇指鹿为马。
song,喜遣强弩将军任农夫等引兵向黄山浦，东军据岸结寨，农夫等击破之。
han,王惊而问其故。
han,汉王怨眛，闻其在楚，诏楚捕眛。
han,良曰：臣为韩王送沛公，今事有急，亡去不义。
han,及武灵王有沙丘之乱，乃去赵适魏。
song,嶷至镇，一日罢遣三千余人。
han,昭公六年，齐桓公败蔡，遂至楚召陵。
han,或欲大投，或欲分功，此皆君之所明知也。
han,每朝会议，开陈其端，令人主自择，不肯面折庭争。
han,后十四世，帝武丁得傅说为相，殷复兴焉，称高宗。
song,贾谊谏曰：法使天下公得雇租铸铜、锡为钱，敢杂以铅、铁为他巧者，其罪黥。
song,吾荷世祖之眷，当推奉九江。
han,高祖为亭长，素易诸吏，乃绐为谒曰贺钱万，实不持一钱。
han,赵肃侯令其弟成为相，号奉阳君。
han,得乌孙马好，名曰天马。
han,曰：郢等首恶，独无诸孙繇君丑不与谋焉。
han,自是后，诸侯多畔王命。
han,其河、湫、汉水加玉各二；
han,亚夫笑曰：臣之兄已代父侯矣，有如卒，子当代，亚夫何说侯乎？
song,自大驾南行以来，彪兼尚书，日夕共事，始知其专恣无忌，尊身忽物；
song,今营陵侯泽，诸刘最长；
han,后五年，秦卒灭燕，虏燕王喜。
han,夫秦齐雄雌之国，秦彊则齐弱矣，此势不两雄。
han,楚围雍氏，秦败屈丐。
han,死而已四百馀年，今游侠，其行虽不轨于正义，然其言必信，其行必果，已诺必诚，不爱其躯，赴士之戹困，既已存亡死生矣，而不矜其能，羞伐其德，盖亦有足多者焉。
song,春，正月，癸卯朔，诏曰：二汉登贤，莫非经术，服膺雅道，名立行成。
han,鲍牧怒曰：大夫忘景公之命乎？
han,从人说大王者，必曰齐西有彊赵，南有韩与梁。
han,宛贵人怒曰：汉使至轻我！
han,二十九年，秦拔我十三城。
song,孝嗣亦从之。骠骑录事南阳乐豫谓孝嗣曰外传籍籍，似有伊、周之事。
han,兄弟俱在军中，兄归；
han,其春，乐成侯上书言栾大。
han,居三月，诸侯攻秦军急，秦军数却，秦王乃使人遣白起，不得留咸阳中。
song,今恂欲违父逃叛，跨据恒、朔，天下之恶执大焉！
han,晋顷公之十二年，分其邑为十县，六卿各令其族为之大夫。
song,闻事泄，不敢发。
han,县官不给，天子乃损膳，解乘舆驷，
han,独五帝用驹，行亲郊用驹。
han,荆轲废，乃引其匕首以擿秦王，不中，中桐柱。
han,冬，又与楚盟。
song,许公舆许称桂阳王在新亭，士民惶惑，诣萧道成垒投刺者以千数。
han,至如闾巷之侠，修行砥名，声施于天下，莫不称贤，是为难耳。
han,匈奴自单于以下皆亲汉，往来长城下。
han,与其生而无义，固不如烹！
han,越曰：魏地初定，尚畏楚，未可去。
han,商臣告潘崇曰：信矣。
song,休烈等乌合之众，寻自退散，良须兵力，两弟在雍，指遣往征，不为难至。
han,今父老子弟虽患苦我，至今皆得水利，民人以给足富。
pre-qin,三宿而后出昼，是何濡滞也？
han,汉五年，已并天下，诸侯共尊汉王为皇帝于定陶，叔孙通就其仪号。
han,齐王自以儿子，年少，不习兵革之事，原举国委大王。
han,当道者曰：帝令主君射熊与罴，皆死。
pre-qin,然友反命，定为三年之丧。
song,元长驱而进，十二月，己未，军于。
han,王见而说之，使将，而佐魏章略定汉中地。
han,兵法不曰陷之死地而后生，置之亡地而后存？
han,彭越曰：两龙方斗，且待之。
han,三川守李由告归咸阳，李斯置酒于家，百官长皆前为寿，门廷车骑以千数。
song,齐东昏侯嬖臣孙文明等，虽经赦令，犹不自安，乙亥夜，帅其徒数百人，因运荻炬，束仗入南、北掖门作乱，烧神虎门、总章观，入卫尉府，杀卫尉洮阳愍侯张弘策。
pre-qin,争地以战，杀人盈野；
han,杀者亦竟绝，莫知为谁。
han,随何曰：臣请使之。
han,沛公骂曰：竖儒！
song,若其可攻，寻已亡矣。
song,莫若请救于魏，与北连和，犹为上策。
han,以功为侯者，而广军无功。
song,大命将泛，莫之振救。
han,冯驩曰：闻君好士，以贫身归于君。
han,将与大夫盟而立之，鲍牧醉，乞诬大夫曰：吾与鲍牧谋共立阳生。
han,今自有秩以上至诸大吏，下及王左右，无非相国之人者。
song,自制担幢校具，伎衣饰以金玉，侍卫满侧，逞诸变态，曾无愧色。
han,有顷，父亦来，喜曰：当如是。
han,由此观之，窃钩者诛，窃国者侯，侯之门仁义存，非虚言也。
song,适上南岸，齐兵亦至。
han,后百有馀年，赵襄子逾句注而破并代以临胡貉。
song,以劳御逸，若果如此，虽忠勇奋发，且安土恋本，人之常情。
han,阖庐立三年，乃兴师与伍胥、伯嚭伐楚，拔舒，遂禽故吴反二将军。
han,不韦贤之，任以为郎。
song,诸将欲攻之，衍不许。
han,方会，进莱乐，孔子历阶上，使有司执莱人斩之，以礼让景公。
han,癸之为言揆也，言万物可揆度，故曰癸。
han,至今闭关十五年，不敢窥兵于山东者，而大王之计有所失也。
han,诸樊弟三人：次曰馀祭，次曰夷眛，次曰季子札。
han,孝文在代时，前后有三男，及窦太后得幸，前后死，及三子更死，故孝景得立。
han,惠伯二十五年，周幽王为犬戎所杀，因东徙，益卑，诸侯畔之。
han,臣青翟等窃与列侯臣寿成等二十七人议，皆曰以为尊卑失序。
song,或言：齐王，高帝长孙，可立也。
han,故珍兽至，嘉谷兴，天应甚彰。
han,诏曰：可。
song,即位之初，义嘉之党多蒙全宥，有如旧臣。
han,居二年，吴王将伐齐。
han,今楚之地方五千里，带甲百万，犹足以踊跃中野也，而坐受困，臣窃为大王弗取也。
han,南阳西通武关、郧关，东南受汉、江、淮。
han,宋襄公新困兵于楚，伤于泓，闻重耳贤，乃以国礼礼于重耳。
han,史策祝曰：惟尔元孙王发，勤劳阻疾。
han,独置大胾，无切肉，又不置櫡。
han,为吏，以治狱至廷史。
pre-qin,海内之地方千里者九，齐集有其一。
han,对曰：不反。
song,今解卿少师，削禄一期。
song,至郡，开布恩信，蛮、獠翕然怀之，竞饷金宝；
han,悼公八年卒，子休公田立。
pre-qin,将以求吾所大欲也。
han,明年春，简子谓邯郸大夫午曰：归我卫士五百家，吾将置之晋阳。
han,又曰：且奔诸侯以听大国之虑。
han,弗诛，后遗子孙忧。
han,王曰：晋侯亡在外十九年，困日久矣，果得反国，险戹尽知之，能用其民，天之所开，不可当。
han,然皆祖屈原之从容辞令，其后楚日以削，数十年竟为秦所灭。
han,至汉兴，高祖至暴抗也，然籍孺以佞幸；
han,出妇嫁于乡曲者，良妇也。
han,而卒惶急，无以击轲，而以手共搏之。
han,择郡中豪敢任吏十馀人，以为爪牙，皆把其阴重罪，而纵使督盗贼，快其意所欲得。
han,沈、姒、蓐、黄实守其祀。
han,今臣往，徒见羸瘠老弱，此必欲见短，伏奇兵以争利。
han,围焦，降之。
han,是故臣原以从事王，王速受楚赵之约，而挟韩之质以存韩，而求故地，韩必效之。
song,道根以私属从军，及显达夜走，军人不知山路，道根每及险要，辄停马指示之，众赖以全。
han,穰侯舅也，功莫大焉，而竟逐之；
han,帝中丁崩，弟外壬立，是为帝外壬。
song,天子扫境内以属王，有前死一尺，无却生一寸！
han,尝与主爵都尉汲黯请间，汲黯先发之，以此日益亲贵。
han,事宽，得长王燕；
han,吴反时，以军功封俞侯，复为燕相。
han,寥廓忽荒兮，与道翱翔。
han,封禅七十二王，唯黄帝得上泰山封。
song,及上即位，尽用左右细人，游击将军阮佃夫、中书通事舍人王道隆、员外散骑侍郎杨运长等，并参预政事，权亚人主，巢、戴所不及也。
han,师行，师尚父左杖黄钺，右把白旄以誓，曰：苍兕苍兕，总尔众庶，与尔舟楫，后至者斩！
han,其十月，五大夫陵攻赵邯郸。
han,是后匈奴远遁，而幕南无王庭。
han,六十四年，景公卒。
han,景星者，德星也。
han,今王毋与天下攻齐，天下必以王为义。
han,昭子闻之，与国惠子救公。
han,九月，燕灵王建薨，有美人子，太后使人杀之，无后，国除。
han,项王方北忧齐、赵，西患汉，所与者独九江王，又多布材，欲亲用之，以故未击。
han,八年，使太子圉质秦。
han,三月，遂东幸缑氏，礼登中岳太室。
han,汉二年，韩信略定韩十馀城。
song,羲曰：观珍奇之色甚不平，不可不为之备。
pre-qin,曰：冠素。
han,立二十三年卒，谥夷侯。
han,苛骂曰：若趣降汉王！
han,道中人笑之，东郭先生应之曰：谁能履行雪中，令人视之，其上履也，其履下处乃似人足者乎？
han,郑伯降楚，楚复释之。
han,营室者，主营胎阳气而产之。
han,景公二十九年卒，子叔立，是为平公。
song,巴西太守庞景民据郡不下，郡民严玄思聚众自称巴州刺史，附于魏，斩之。
han,有司言曰：陛下建汉家封禅，其来年冬，郊雍五帝，还，拜祝祠泰一。
han,士卒次舍井灶饮食问疾医药，身自拊循之。
han,上欲治明堂奉高旁，未晓其制度。
han,军垒成，秦人闻之，悉甲而至。
han,三月乙亥，御史臣光守尚书令奏未央宫。
han,今坐而听秦，秦兵不弊而多得地，以益彊之秦而割愈弱之赵，且王之地有尽而秦之求无已，以有尽之地而给无已之求，其势必无赵矣。
han,三十三年，宋襄公欲为盟会，召楚。
han,有城市邑十七，原再拜入之赵，财王所以赐吏民。
pre-qin,五霸，假之也。
song,扬州刺史李崇上表，以为高祖迁都垂三十年，明堂未修，太学荒废，城阙府寺颇亦颓坏，非所以追隆堂构，仪刑万国者也。
han,李园求事春申君为舍人，已而谒归，故失期。
han,赵襄子最怨智伯，漆其头以为饮器。
song,房崇吉守升城，胜兵者不过七百人。
han,以其近己而俗变相类，议卑而易行也。
song,既而嬖幸诛纵亦如初。
song,帝怒，变色；
song,议者或欲尽杀道人，冯太后不可，乃止。
han,光惧，袭楚，复得王舟而还。
han,曰：贤哉楚庄王！
han,离之，军却。
song,南兖州刺史萧道成在军中久，当为天子。
han,五国相王，赵独否，曰：无其实，敢处其名乎！
han,入与人主同辇，出与同车。
